개설학과,이수구분,과목번호,분반,교과목명,학점/시간,"수강학년",강의실(시간),담당교수
콜라보교육센터,전공선택,510445,001,동아리연계융복합캡스톤디자인Ⅰ,2.00,3,국제801[목6-7],이범웅
콜라보교육센터,전공선택,510445,002,동아리연계융복합캡스톤디자인Ⅰ,2.00,3,의료보건관603[금5-6],김혜진
콜라보교육센터,전공선택,510445,003,동아리연계융복합캡스톤디자인Ⅰ,2.00,3,도서705[목6-7],박유현
콜라보교육센터,전공선택,510446,001,동아리연계융복합캡스톤디자인Ⅱ,2.00,3,국제910[목5-6],김현지
콜라보교육센터,전공선택,510446,002,동아리연계융복합캡스톤디자인Ⅱ,2.00,3,의료보건관603[금7-8],윤현서
콜라보교육센터,전공선택,510446,003,동아리연계융복합캡스톤디자인Ⅱ,2.00,3,산학314[수5-6],최중호
콜라보교육센터,자유선택,800092,001,효민학습컨설팅,3.00,2,산학314[금2-4],이순화
콜라보교육센터,자유선택,800215,001,신성장산업과특허권,3.00,2,의료보건관708[월7-9],원대규
LINC3.0사업단,자유선택,800106,001,AI기반창업마케팅,3.00,2,정보324[목6-8],이현섭
LINC3.0사업단,자유선택,800228,001,데이터사이언스의이해,3.00,2,정보614[목6-8],허경용
LINC3.0사업단,자유선택,800229,001,창업과특허,3.00,2,산학618[수6-8],최정윤
인문사회과학대학,전공선택,509903,001,융복합캡스톤디자인,3.00,4,공과413[수7-9],유종훈
국어국문학과,공통교양,100030,001,영어회화,2.00,1,2인207[월5-6],다니엘쉐리든
국어국문학과,공통교양,100030,002,영어회화,2.00,1,2인208[월5-6],찰스
국어국문학과,공통교양,100136,001,소프트웨어(이해),1.00,1,사이버강좌,이미화
국어국문학과,공통교양,100138,001,디지털시대와인문학,2.00,1,2인207[월1-2],박순준
국어국문학과,공통교양,100141,001,프로젝트길잡이Ⅰ,1.00,1,2인207[화2],박순준
국어국문학과,공통교양,100143,001,지도교수멘토링Ⅰ,0.25,1,2인307[화8],이철우
국어국문학과,공통교양,100143,002,지도교수멘토링Ⅰ,0.25,1,2인201[화8],이호규
국어국문학과,공통교양,100143,003,지도교수멘토링Ⅰ,0.25,1,2인215[화8],하상일
국어국문학과,공통교양,100143,004,지도교수멘토링Ⅰ,0.25,1,2인220[화8],전동균
국어국문학과,공통교양,100143,005,지도교수멘토링Ⅰ,0.25,1,2인202[화8],윤지영
국어국문학과,공통교양,100145,001,지도교수멘토링Ⅲ,0.25,2,2인307[화8],이철우
국어국문학과,공통교양,100145,002,지도교수멘토링Ⅲ,0.25,2,2인201[화8],이호규
국어국문학과,공통교양,100145,003,지도교수멘토링Ⅲ,0.25,2,2인215[화8],하상일
국어국문학과,공통교양,100145,004,지도교수멘토링Ⅲ,0.25,2,2인220[화8],전동균
국어국문학과,공통교양,100145,005,지도교수멘토링Ⅲ,0.25,2,2인202[화8],윤지영
국어국문학과,공통교양,100147,001,지도교수멘토링Ⅴ,0.25,3,2인307[화8],이철우
국어국문학과,공통교양,100147,002,지도교수멘토링Ⅴ,0.25,3,2인201[화8],이호규
국어국문학과,공통교양,100147,003,지도교수멘토링Ⅴ,0.25,3,2인215[화8],하상일
국어국문학과,공통교양,100147,004,지도교수멘토링Ⅴ,0.25,3,2인220[화8],전동균
국어국문학과,공통교양,100147,005,지도교수멘토링Ⅴ,0.25,3,2인202[화8],윤지영
국어국문학과,공통교양,100149,001,지도교수멘토링Ⅶ,0.25,4,2인307[화8],이철우
국어국문학과,공통교양,100149,002,지도교수멘토링Ⅶ,0.25,4,2인201[화8],이호규
국어국문학과,공통교양,100149,003,지도교수멘토링Ⅶ,0.25,4,2인215[화8],하상일
국어국문학과,공통교양,100149,004,지도교수멘토링Ⅶ,0.25,4,2인220[화8],전동균
국어국문학과,공통교양,100149,005,지도교수멘토링Ⅶ,0.25,4,2인202[화8],윤지영
국어국문학과,전공필수,300224,001,고전문학의이해,3.00,1,"2인206[화4], 2인206[목2-3]",박양리
국어국문학과,전공필수,401992,001,문학과문화,3.00,1,"2인208[화3], 2인208[수4-5]",윤지영
국어국문학과,전공필수,401992,002,문학과문화,3.00,1,"2인207[화4-5], 2인207[금6]",윤지영
국어국문학과,전공필수,401762,001,희곡시나리오선독,3.00,2,"2인210[월3], 2인210[수4-5]",이철우
국어국문학과,전공교직,700125,001,교과교육론(국어),3.00,3,"2인206[월7-8], 2인206[화5]",이철우
국어국문학과,전공교직,507875,001,논리및논술(국어),2.00,4,2인215[목2-3],하상일
국어국문학과,전공선택,400079,001,국어학개론,3.00,2,"2인208[목5], 2인208[금3-4]",최중호
국어국문학과,전공선택,504479,001,현대소설론,3.00,2,"2인207[화3], 2인207[목1-2]",이호규
국어국문학과,전공선택,510465,001,한국근대문학사의이해,3.00,2,"2인207[월7-8], 2인207[수3]",하상일
국어국문학과,전공선택,510974,001,고전산문읽기,3.00,2,"2인213[월5-6], 2인410[화6]",박양리
국어국문학과,전공선택,510975,001,스토리텔링의이해,3.00,2,"2인208[화7], 2인208[목6-7]",전동균
국어국문학과,전공선택,505115,001,희곡론,3.00,3,"2인208[수6], 2인208[목1-2]",이철우
국어국문학과,전공선택,509700,001,문학과광고,3.00,3,"2인206[월5-6], 2인206[수4]",전동균
국어국문학과,전공선택,510227,001,문학비평의이론과실제,3.00,3,"2인206[화3], 2인206[수1-2]",하상일
국어국문학과,전공선택,510467,001,서사텍스트해석과변형,3.00,3,"2인208[월2-3], 2인208[화6]",이호규
국어국문학과,전공선택,511057,001,현대시와주제학(키스톤디자인),3.00,3,"2인207[화7], 2인207[목5-6]",윤지영
국어국문학과,전공선택,510009,001,출판편집론특강,3.00,4,"2인207[화6], 2인206[수6-7]",전동균
국어국문학과,전공선택,510469,001,스피치의구성과실제,3.00,4,"2인208[화5], 2인208[수2-3]",이호규
국어국문학과,전공선택,511055,001,캡스톤디자인(부산의삶과문학),3.00,4,2인206[금3-5],윤지영
중어중국학과,공통교양,100030,003,영어회화,2.00,1,2인409[월5-6],얀커트
중어중국학과,공통교양,100030,004,영어회화,2.00,1,2인508[월5-6],다니엘블리드
중어중국학과,공통교양,100138,002,디지털시대와인문학,2.00,1,2인409[월1-2],김수환
중어중국학과,공통교양,100141,002,프로젝트길잡이Ⅰ,1.00,1,2인409[화2],김수환
중어중국학과,공통교양,100143,006,지도교수멘토링Ⅰ,0.25,1,2인414[화8],김영찬
중어중국학과,공통교양,100143,007,지도교수멘토링Ⅰ,0.25,1,2인313[화8],김형열
중어중국학과,공통교양,100143,008,지도교수멘토링Ⅰ,0.25,1,2인419[화8],이영희
중어중국학과,공통교양,100143,009,지도교수멘토링Ⅰ,0.25,1,2인519[화8],조민우
중어중국학과,공통교양,100145,006,지도교수멘토링Ⅲ,0.25,2,2인414[화8],김영찬
중어중국학과,공통교양,100145,007,지도교수멘토링Ⅲ,0.25,2,2인313[화8],김형열
중어중국학과,공통교양,100145,008,지도교수멘토링Ⅲ,0.25,2,2인419[화8],이영희
중어중국학과,공통교양,100145,009,지도교수멘토링Ⅲ,0.25,2,2인519[화8],조민우
중어중국학과,공통교양,100147,006,지도교수멘토링Ⅴ,0.25,3,2인414[화8],김영찬
중어중국학과,공통교양,100147,007,지도교수멘토링Ⅴ,0.25,3,2인313[화8],김형열
중어중국학과,공통교양,100147,008,지도교수멘토링Ⅴ,0.25,3,2인419[화8],이영희
중어중국학과,공통교양,100147,009,지도교수멘토링Ⅴ,0.25,3,2인519[화8],조민우
중어중국학과,공통교양,100149,006,지도교수멘토링Ⅶ,0.25,4,2인414[화8],김영찬
중어중국학과,공통교양,100149,007,지도교수멘토링Ⅶ,0.25,4,2인313[화8],김형열
중어중국학과,공통교양,100149,008,지도교수멘토링Ⅶ,0.25,4,2인419[화8],이영희
중어중국학과,공통교양,100149,009,지도교수멘토링Ⅶ,0.25,4,2인519[화8],조민우
중어중국학과,전공필수,400498,001,초급중국어회화Ⅰ,3.00,1,"2인411[화3-4], 2인411[목3]",이영희
중어중국학과,전공필수,400498,002,초급중국어회화Ⅰ,3.00,1,"2인408[화3-4], 2인408[목3]",조민우
중어중국학과,전공필수,402048,001,기초중국어연습,3.00,1,"2인411[수2-3], 2인411[목2]",김영찬
중어중국학과,전공필수,402048,002,기초중국어연습,3.00,1,"2인409[화3-4], 2인409[목2]",김형열
중어중국학과,전공필수,503660,001,중급중국어강독Ⅰ,3.00,2,"2인408[수5-6], 2인408[목4]",이영희
중어중국학과,전공선택,402009,001,중국문학읽기,3.00,2,"2인409[수3-4], 2인411[금2]",조민우
중어중국학과,전공선택,503663,001,중급중국어회화Ⅰ,3.00,2,"2인408[월3-4], 2인408[화7]",이영희
중어중국학과,전공선택,509088,001,호스피탈리티중국어Ⅰ,3.00,2,"2인408[화5], 2인408[목7-8]",조민우
중어중국학과,전공선택,510502,001,중국문화산책,3.00,2,"2인409[월7-8], 2인507[목5]",김형열
중어중국학과,전공선택,511232,001,오늘의중국정치와경제(키스톤디자인),3.00,2,"2인411[월5-6], 2인411[화6]",김영찬
중어중국학과,전공선택,500336,001,고급중국어강독Ⅰ,3.00,3,"2인507[월4-5], 2인411[목4]",조민우
중어중국학과,전공선택,500339,001,고급중국어회화Ⅰ,3.00,3,"2인408[월6-7], 2인408[수3]",이영희
중어중국학과,전공선택,506160,001,중국언어의이해,3.00,3,"2인411[월2-3], 2인411[목5]",김영찬
중어중국학과,전공선택,511051,001,중국어상용표현연습,3.00,3,"2인507[화3-4], 2인507[목3]",김영찬
중어중국학과,전공선택,511226,001,캡스톤디자인(시사중국어),3.00,3,2인411[금4-6],김미령
중어중국학과,전공선택,902718,001,영화로읽는중국,3.00,3,"2인408[화6], 2인409[수5-6]",김형열
중어중국학과,전공선택,510504,001,현대중국학특강(산학연계학),3.00,4,2인408[금2-4],김형열
중어중국학과,전공선택,511228,001,중국어통번역연습Ⅰ,3.00,4,2인408[금5-7],박노종
일본학과,공통교양,100030,005,영어회화,2.00,1,2인410[월5-6],닐햄
일본학과,공통교양,100030,006,영어회화,2.00,1,2인412[월5-6],아데
일본학과,공통교양,100138,003,디지털시대와인문학,2.00,1,2인410[월1-2],구자상
일본학과,공통교양,100141,003,프로젝트길잡이Ⅰ,1.00,1,2인410[화2],구자상
일본학과,공통교양,100143,010,지도교수멘토링Ⅰ,0.25,1,2인415[화8],조영호
일본학과,공통교양,100143,011,지도교수멘토링Ⅰ,0.25,1,2인317[화8],이경규
일본학과,공통교양,100143,012,지도교수멘토링Ⅰ,0.25,1,2인402[화8],임상민
일본학과,공통교양,100143,013,지도교수멘토링Ⅰ,0.25,1,2인410[화8],윤승민
일본학과,공통교양,100143,014,지도교수멘토링Ⅰ,0.25,1,2인412[화8],정충실
일본학과,공통교양,100145,010,지도교수멘토링Ⅲ,0.25,2,2인415[화8],조영호
일본학과,공통교양,100145,011,지도교수멘토링Ⅲ,0.25,2,2인317[화8],이경규
일본학과,공통교양,100145,012,지도교수멘토링Ⅲ,0.25,2,2인402[화8],임상민
일본학과,공통교양,100145,013,지도교수멘토링Ⅲ,0.25,2,2인410[화8],윤승민
일본학과,공통교양,100145,014,지도교수멘토링Ⅲ,0.25,2,2인412[화8],정충실
일본학과,공통교양,100147,010,지도교수멘토링Ⅴ,0.25,3,2인415[화8],조영호
일본학과,공통교양,100147,011,지도교수멘토링Ⅴ,0.25,3,2인317[화8],이경규
일본학과,공통교양,100147,012,지도교수멘토링Ⅴ,0.25,3,2인402[화8],임상민
일본학과,공통교양,100147,013,지도교수멘토링Ⅴ,0.25,3,2인410[화8],윤승민
일본학과,공통교양,100147,014,지도교수멘토링Ⅴ,0.25,3,2인412[화8],정충실
일본학과,공통교양,100149,010,지도교수멘토링Ⅶ,0.25,4,2인415[화8],조영호
일본학과,공통교양,100149,011,지도교수멘토링Ⅶ,0.25,4,2인317[화8],이경규
일본학과,공통교양,100149,012,지도교수멘토링Ⅶ,0.25,4,2인402[화8],임상민
일본학과,공통교양,100149,013,지도교수멘토링Ⅶ,0.25,4,2인410[화8],윤승민
일본학과,공통교양,100149,014,지도교수멘토링Ⅶ,0.25,4,2인412[화8],정충실
일본학과,전공필수,401879,001,기초일본어회화Ⅰ,3.00,1,2인410[금6-8],임상민
일본학과,전공필수,401879,002,기초일본어회화Ⅰ,3.00,1,"2인410[화4], 2인410[목3-4]",윤승민
일본학과,전공필수,401990,001,문화로배우는일본어회화,3.00,1,"2인410[수2-3], 2인410[목2]",마스기유리
일본학과,전공필수,401990,002,문화로배우는일본어회화,3.00,1,"2인213[월4], 2인213[수5-6]",마스기유리
일본학과,전공필수,401990,003,문화로배우는일본어회화,3.00,1,"2인410[월3-4], 2인410[화3]",윤승민
일본학과,전공필수,503813,001,초급일본어회화,3.00,2,"1인208[목4], 1인208[금4-5]",마스기유리
일본학과,전공필수,503813,002,초급일본어회화,3.00,2,"1인208[월5], 1인208[금7-8]",마스기유리
일본학과,전공선택,509095,001,기초일본어문법,3.00,2,"2인410[목5-6], 2인412[금6]",정충실
일본학과,전공선택,509099,001,초급일본어작문,3.00,2,"2인412[화4-5], 2인412[수5]",이경규
일본학과,전공선택,510881,001,일본어회화기초문형활용법,3.00,2,"2인412[화1-2], 2인412[목1]",조영호
일본학과,전공선택,510949,001,한일문화콘텐츠제작Ⅰ(키스톤디자인),3.00,2,2인412[금1-3],이정열
일본학과,전공선택,510950,001,일본학입문,3.00,2,"2인213[월7-8], 2인410[화7]",정충실
일본학과,전공선택,200565,001,일본어능력시험Ⅰ,3.00,3,"2인213[화4], 2인410[수5-6]",임상민
일본학과,전공선택,400390,001,일본어독해연습,3.00,3,"2인412[수3], 2인412[목5-6]",이경규
일본학과,전공선택,503027,001,일본문화론,3.00,3,"2인410[월7-8], 2인410[금2]",윤승민
일본학과,전공선택,510830,001,실무일본어회화,3.00,3,2인410[금3-5],임상민
일본학과,전공선택,510955,001,현대일본어회화기법(키스톤디자인),3.00,3,"2인412[화3], 2인412[수1-2]",조영호
일본학과,전공선택,509105,001,취업실용일본어,3.00,4,"2인411[월8], 2인412[수7-8]",마스기유리
일본학과,전공선택,510661,001,일본문학과영화비평,3.00,4,"2인412[수4], 2인412[목3-4]",임상민
일본학과,전공선택,510961,001,캡스톤디자인(일본기업탐방),3.00,4,2인412[월2-4],조영호
일본학과,전공선택,510962,001,한일문화기획,3.00,4,"2인412[목7-8], 2인411[금3]",윤승민
영어영문학과,공통교양,100030,007,영어회화,2.00,1,2인311[월1-2],데이비드스크래그즈
영어영문학과,공통교양,100030,008,영어회화,2.00,1,2인508[월1-2],제이하프
영어영문학과,공통교양,100136,002,소프트웨어(이해),1.00,1,사이버강좌,이미화
영어영문학과,공통교양,100138,004,디지털시대와인문학,2.00,1,1인208[목2-3],김예슬
영어영문학과,공통교양,100141,004,프로젝트길잡이Ⅰ,1.00,1,1인208[월3],김예슬
영어영문학과,공통교양,100143,015,지도교수멘토링Ⅰ,0.25,1,2인416[화8],임창건
영어영문학과,공통교양,100143,016,지도교수멘토링Ⅰ,0.25,1,2인323[화8],오인용
영어영문학과,공통교양,100143,017,지도교수멘토링Ⅰ,0.25,1,2인420[화8],송경숙
영어영문학과,공통교양,100143,018,지도교수멘토링Ⅰ,0.25,1,2인322[화8],유지헌
영어영문학과,공통교양,100143,019,지도교수멘토링Ⅰ,0.25,1,2인304[화8],이송은
영어영문학과,공통교양,100145,015,지도교수멘토링Ⅲ,0.25,2,2인416[화8],임창건
영어영문학과,공통교양,100145,016,지도교수멘토링Ⅲ,0.25,2,2인323[화8],오인용
영어영문학과,공통교양,100145,017,지도교수멘토링Ⅲ,0.25,2,2인420[화8],송경숙
영어영문학과,공통교양,100145,018,지도교수멘토링Ⅲ,0.25,2,2인322[화8],유지헌
영어영문학과,공통교양,100145,019,지도교수멘토링Ⅲ,0.25,2,2인304[화8],이송은
영어영문학과,공통교양,100147,015,지도교수멘토링Ⅴ,0.25,3,2인416[화8],임창건
영어영문학과,공통교양,100147,016,지도교수멘토링Ⅴ,0.25,3,2인323[화8],오인용
영어영문학과,공통교양,100147,017,지도교수멘토링Ⅴ,0.25,3,2인420[화8],송경숙
영어영문학과,공통교양,100147,018,지도교수멘토링Ⅴ,0.25,3,2인322[화8],유지헌
영어영문학과,공통교양,100147,019,지도교수멘토링Ⅴ,0.25,3,2인304[화8],이송은
영어영문학과,공통교양,100149,015,지도교수멘토링Ⅶ,0.25,4,2인416[화8],임창건
영어영문학과,공통교양,100149,016,지도교수멘토링Ⅶ,0.25,4,2인323[화8],오인용
영어영문학과,공통교양,100149,017,지도교수멘토링Ⅶ,0.25,4,2인420[화8],송경숙
영어영문학과,공통교양,100149,018,지도교수멘토링Ⅶ,0.25,4,2인322[화8],유지헌
영어영문학과,공통교양,100149,019,지도교수멘토링Ⅶ,0.25,4,2인304[화8],이송은
영어영문학과,전공필수,401881,001,영상과영미문학,3.00,1,"2인508[화4-5], 2인508[목4]",유지헌
영어영문학과,전공필수,401881,002,영상과영미문학,3.00,1,"2인508[수3], 2인508[금3-4]",유지헌
영어영문학과,전공필수,900090,001,영문독해,3.00,1,"1인208[월6], 1인208[수2-3]",오인용
영어영문학과,전공필수,505165,001,미국문학개관,3.00,2,"2인209[화3-4], 2인209[목4]",임창건
영어영문학과,전공교직,507867,001,교과교육론(외국어),3.00,3,"2인411[화7], 2인411[수7-8]",이송은
영어영문학과,전공교직,507882,001,논리및논술(외국어),2.00,4,2인411[목7-8],이송은
영어영문학과,전공선택,506022,001,영미명작의세계,3.00,2,"2인409[화6-7], 2인409[목3]",유지헌
영어영문학과,전공선택,510948,001,영어구조연습(키스톤디자인),3.00,2,"1인208[수6], 1인208[목5-6]",이송은
영어영문학과,전공선택,900154,001,실용영어회화Ⅰ,3.00,2,"2인311[목7-8], 2인311[금5]",브리트니크로슬이
영어영문학과,전공선택,900154,002,실용영어회화Ⅰ,3.00,2,"2인209[화5], 2인209[금7-8]",브리트니크로슬이
영어영문학과,전공선택,502206,001,시사영어,3.00,3,"2인209[월7], 2인209[목5-6]",오인용
영어영문학과,전공선택,506864,001,실용영어회화Ⅱ,3.00,3,"2인311[화3-4], 2인311[금4]",브리트니크로슬이
영어영문학과,전공선택,510096,001,영미TV드라마,3.00,3,"2인209[월3-4], 2인209[수3]",임창건
영어영문학과,전공선택,510509,001,영어독해지도,3.00,3,2인209[금1-3],이송은
영어영문학과,전공선택,510953,001,포스트휴먼시대의영미영상드라마,3.00,3,"2인411[수6], 2인410[목7-8]",유지헌
영어영문학과,전공선택,510954,001,현장영어교육연습(키스톤디자인),3.00,3,"2인311[수4-5], 2인311[목3]",송경숙
영어영문학과,전공선택,506700,001,영어토론,3.00,4,"2인311[월7-8], 2인311[목6]",브리트니크로슬이
영어영문학과,전공선택,510665,001,영어영상언어의이해,3.00,4,2인213[금5-7],유지헌
영어영문학과,전공선택,510959,001,캡스톤디자인(관광및컨벤션영어),3.00,4,"2인311[월3-4], 2인311[수3]",송경숙
영어영문학과,전공선택,510991,001,번역의이해,3.00,4,"2인209[화6-7], 2인209[목3]",오인용
문헌정보학과,공통교양,100030,009,영어회화,2.00,1,1인610[화2-3],리크레이그존
문헌정보학과,공통교양,100030,010,영어회화,2.00,1,2인508[화2-3],폴포터
문헌정보학과,공통교양,100138,005,디지털시대와인문학,2.00,1,1인602[수2-3],김인호
문헌정보학과,공통교양,100141,005,프로젝트길잡이Ⅰ,1.00,1,1인602[월3],김인호
문헌정보학과,공통교양,100143,020,지도교수멘토링Ⅰ,0.25,1,1인609[화9],최연주
문헌정보학과,공통교양,100143,021,지도교수멘토링Ⅰ,0.25,1,1인409[화9],정영미
문헌정보학과,공통교양,100143,022,지도교수멘토링Ⅰ,0.25,1,1인412[화9],윤유라
문헌정보학과,공통교양,100143,023,지도교수멘토링Ⅰ,0.25,1,1인411[화9],이은주
문헌정보학과,공통교양,100143,024,지도교수멘토링Ⅰ,0.25,1,1인413[화9],신영지
문헌정보학과,공통교양,100145,020,지도교수멘토링Ⅲ,0.25,2,1인609[화9],최연주
문헌정보학과,공통교양,100145,021,지도교수멘토링Ⅲ,0.25,2,1인409[화9],정영미
문헌정보학과,공통교양,100145,022,지도교수멘토링Ⅲ,0.25,2,1인412[화9],윤유라
문헌정보학과,공통교양,100145,023,지도교수멘토링Ⅲ,0.25,2,1인411[화9],이은주
문헌정보학과,공통교양,100145,024,지도교수멘토링Ⅲ,0.25,2,1인413[화9],신영지
문헌정보학과,공통교양,100147,020,지도교수멘토링Ⅴ,0.25,3,1인609[화9],최연주
문헌정보학과,공통교양,100147,021,지도교수멘토링Ⅴ,0.25,3,1인409[화9],정영미
문헌정보학과,공통교양,100147,022,지도교수멘토링Ⅴ,0.25,3,1인412[화9],윤유라
문헌정보학과,공통교양,100147,023,지도교수멘토링Ⅴ,0.25,3,1인411[화9],이은주
문헌정보학과,공통교양,100147,024,지도교수멘토링Ⅴ,0.25,3,1인413[화9],신영지
문헌정보학과,공통교양,100149,020,지도교수멘토링Ⅶ,0.25,4,1인609[화9],최연주
문헌정보학과,공통교양,100149,021,지도교수멘토링Ⅶ,0.25,4,1인409[화9],정영미
문헌정보학과,공통교양,100149,022,지도교수멘토링Ⅶ,0.25,4,1인412[화9],윤유라
문헌정보학과,공통교양,100149,023,지도교수멘토링Ⅶ,0.25,4,1인411[화9],이은주
문헌정보학과,공통교양,100149,024,지도교수멘토링Ⅶ,0.25,4,1인413[화9],신영지
문헌정보학과,전공필수,400210,001,문헌정보학개론,3.00,1,"1인202[월2], 1인202[목2-3]",이은주
문헌정보학과,전공필수,503463,001,정보학의이해,3.00,1,"1인601[화5], 1인601[수5-6]",신영지
문헌정보학과,전공필수,501288,001,문헌분류론,3.00,2,"1인601[월5-6], 1인601[화3]",이은주
문헌정보학과,전공선택,509233,001,데이터베이스이론및실습,3.00,2,"1인202[수3], 1인202[목7-8]",신영지
문헌정보학과,전공선택,509984,001,정보사회와저작권,3.00,2,1인202[화6-8],신인수
문헌정보학과,전공선택,510491,001,도서관한문읽기,3.00,2,"1인202[월3], 1인202[수5-6]",최연주
문헌정보학과,전공선택,511556,001,도서관마케팅(키스톤디자인),3.00,2,"1인602[월7], 1인602[목5-6]",윤유라
문헌정보학과,전공선택,500970,001,독서지도론,3.00,3,"1인601[화6-7], 1인601[목3]",윤유라
문헌정보학과,전공선택,501287,001,문헌목록학Ⅱ,3.00,3,"1인601[월3], 1인601[수3-4]",이은주
문헌정보학과,전공선택,510099,001,메타데이터론,3.00,3,"1인202[월7-8], 1인202[화3]",신영지
문헌정보학과,전공선택,510493,001,관종별도서관(산학연계학),3.00,3,1인602[금2-4],윤유라
문헌정보학과,전공선택,510765,001,온라인검색이론및실습,3.00,3,"1인201[화5], 1인201[목5-6]",김예린
문헌정보학과,전공선택,510965,001,정보이용자론(키스톤디자인),3.00,3,"1인602[월5-6], 1인602[수6]",정영미
문헌정보학과,전공선택,501289,001,문헌정보학특강,3.00,4,1인602[화3-5],신인수
문헌정보학과,전공선택,508241,001,기록관리개론,3.00,4,1인202[금2-4],최연주
문헌정보학과,전공선택,510767,001,도서관사서실습,3.00,4,1인601[금6-8],윤유라
문헌정보학과,전공선택,510969,001,캡스톤디자인(메타리터러시교육),3.00,4,1인602[목2-4],정영미
평생교육·청소년상담학과,공통교양,100030,011,영어회화,2.00,1,1인414[월1-2],해즐턴새뮤얼깁스
평생교육·청소년상담학과,공통교양,100138,006,디지털시대와인문학,2.00,1,1인415[수2-3],김보성
평생교육·청소년상담학과,공통교양,100141,006,프로젝트길잡이Ⅰ,1.00,1,1인415[화3],김보성
평생교육·청소년상담학과,공통교양,100143,025,지도교수멘토링Ⅰ,0.25,1,1인607[화8],오혁진
평생교육·청소년상담학과,공통교양,100143,026,지도교수멘토링Ⅰ,0.25,1,1인404[화8],안영식
평생교육·청소년상담학과,공통교양,100143,027,지도교수멘토링Ⅰ,0.25,1,1인407[화8],김진화
